"","İlan Başlığı","Yıl","Kilometre","Renk","Fiyat","Tarih","İl / İlçe","shortname","lon","lat"
"333","Hyundai Accent 1.5 CRDi Admire
            Sahibinden full 153 Binde Turbo Dizel Hyundai accent Güvenlik Paketli full","2005",153000,"Beyaz",24500,"14 Mayıs 2017"," Ankara Etimesgut","Hyundai Accent 1.5 C",28.7206721,40.9801984
"433","Hyundai i20 1.4 CRDi Jump
            30.000 de orjinal","2013",29750,"Kırmızı",42432,"14 Mayıs 2017"," Bursa Osmangazi","Hyundai i20 1.4 CRDi",28.7780987,41.0212376
"532","Hyundai Accent 1.3 Admire
            2005 accent vize yeni 4 lastik triger vs bakimlari yeni klimali","2005",150000,"Gri (metalik)",20000,"14 Mayıs 2017","İzmir Bornova","Hyundai Accent 1.3 A",34.4863567,36.8661859
"733","Ford Focus 1.6 TDCi Trend
            SAHİBİNDEN TEMİZ FOCUS","2007",220000,"Gri (Gümüş)",35000,"14 Mayıs 2017"," Konya Selçuklu","Ford Focus 1.6 TDCi ",NA,NA
"833","Opel Astra 1.3 CDTI Cosmo
            düşük km uygun fiyat","2005",170000,"Siyah",15750,"14 Mayıs 2017","İstanbul Bahçelievler","Opel Astra 1.3 CDTI ",35.4343604,36.9075903
"933","Hyundai i10 1.1 Select
            2009 HYUNDAI İ10 SELECT 1.1 MANUEL AZ KİLOMETRELİ","2009",41400,"Gri",28500,"13 Mayıs 2017","İstanbul Beylikdüzü","Hyundai i10 1.1 Sele",27.261015,37.857913
"1032","Renault Clio 1.5 dCi SportTourer Joy
            2015 CLİO SPORT TOURER 1.5 DCİ 75 HP","2015",43200,"Beyaz",48500,"13 Mayıs 2017","İstanbul Beylikdüzü","Renault Clio 1.5 dCi",35.2587964,36.9674013
"1133","Volkswagen VW CC 1.4 TSi
            -Can'dan sitedeki en yakışıklı Vw cc Exclusive. (eksper raporlu)","2013",90000,"Siyah",94000,"13 Mayıs 2017","Çanakkale Merkez","Volkswagen VW CC 1.4",32.2653887,37.7430228
"1233","Volkswagen Golf 1.6
            SANROFLU TERTEMİZ GOLF 5","2004",116000,"Gri (Gümüş)",44000,"13 Mayıs 2017"," Aksaray Merkez","Volkswagen Golf 1.6",27.365646,41.402742
"1333","Renault Megane 1.5 dCi Authentique
            2009 Renault Megane  1.5 dCi Authentiue","2009",199000,"Gri",33750,"13 Mayıs 2017"," Bartın Merkez","Renault Megane 1.5 d",29.3598782,40.8982305
"1433","Renault Fluence 1.5 dCi Touch
            2015 RENAULT FLUENCE TOUCH YETKİLİ SERVİS BAKIMLI 38.000 KM","2015",38000,"Beyaz",63000,"13 Mayıs 2017"," Bursa Mudanya","Renault Fluence 1.5 ",30.769476,36.8827594
"1533","Mercedes - Benz C 180 BlueEFFICIENCY AMG
            --ERSOY OTOMOTİVDEN TÜRKİYEDE TEK C 180 CAM TAVAN  AMG PAKET  14 000 KM DE---","2011",14000,"Beyaz",115000,"13 Mayıs 2017"," Manisa Akhisar","Mercedes - Benz C 18",35.3186448,37.0204658
"1633","Opel Astra 1.4 Classic
            ----ERSOY OTOMOTİVDEN OPEL ASTRA 1.4 LPG Lİ HB ---","2006",156000,"Beyaz",27500,"13 Mayıs 2017"," Manisa Akhisar","Opel Astra 1.4 Class",29.8815203,36.7304724
"1833","Audi A6 1.9 TDI Avant
            --ERSOY OTOMOTİVDEN AUDİ DİZEL OTOMATİK A6 --","2004",262000,"Gri (titanyum)",47500,"13 Mayıs 2017"," Manisa Akhisar","Audi A6 1.9 TDI Avan",29.2785638,38.7226697
"1933","Renault Clio 1.5 dCi Joy
            UĞUR OTO 2015 RENAULT CLİO 1.5 DCİ JOY","2015",43000,"Beyaz",49750,"13 Mayıs 2017","İzmir Gaziemir","Renault Clio 1.5 dCi",32.2653887,37.7430228
"2033","Suzuki Swift 1.0 GL
            --ERSOY OTOMOTİVDEN LPG Lİ SUZUKİ MARUTİ ----","2001",79000,"Beyaz",10500,"13 Mayıs 2017"," Manisa Akhisar","Suzuki Swift 1.0 GL",36.571247,40.672726
"2134","Smart ForTwo 1.0 Brabus
            NARİN'DEN 2012 SMART FORTWO 1.0 BRABUS CABRİO BAYİ ÇIKIŞLI","2012",89387,"Kırmızı",66000,"13 Mayıs 2017","İstanbul Beşiktaş","Smart ForTwo 1.0 Bra",28.7897558,41.1015173
"2233","BMW 3 Serisi 320i ED 40th Year Edition
            DİVERSO'DAN 3.20İ ED 40.th YEAR, ÖZEL YAPIM;AÇIKLAMAYI OKUYUNUZ!","2015",44000,"Mavi (metalik)",166500,"13 Mayıs 2017","İzmir Gaziemir","BMW 3 Serisi 320i ED",29.2204548,40.9184004
"2333","Ford Fiesta 1.5 TDCi Trend X
            UĞUR OTO 2016 FORD FİESTA 1.5 TDCİ TREND X","2016",37500,"Beyaz",57500,"13 Mayıs 2017","İzmir Gaziemir","Ford Fiesta 1.5 TDCi",27.8903423,39.6532976
"263","Fiat Linea 1.6 Multijet Easy
            6 İLERİ LİNEA EASY 1.6 MULTİJET","2012",117000,"Beyaz",39750,"13 Mayıs 2017"," Kocaeliİzmit","Fiat Linea 1.6 Multi",36.097423,37.3740219
"334","Renault Fluence 1.5 dCi Touch
            BÜYÜKSOYLU OTO EREĞLİ'DEN 2016 RENAULT FLUENCE TOUCH 1.5DCI 90HP","2016",33800,"Beyaz",64000,"13 Mayıs 2017"," Konya Ereğli","Renault Fluence 1.5 ",37.2886359,41.12724
"434","Mercedes - Benz CLK 200 Kompressor Avantgarde
            -Tam dolu Tertemiz Clk200 Kompressor Avangarde.","2001",244000,"Gri (Gümüş)",42000,"13 Mayıs 2017","Çanakkale Merkez","Mercedes - Benz CLK ",32.695547,39.9904289
"533","Fiat Linea 1.6 Multijet Easy
            LİNEA EASY 1.6  6 İLERİ","2012",91000,"Füme",39900,"13 Mayıs 2017"," Kocaeliİzmit","Fiat Linea 1.6 Multi",35.3186448,37.0204658
"734","Hyundai i20 1.4 MPI Jump
            2016 MODEL 1.4 MPİ HYUNDAİ İ20 JUMP OTOMATİK VİTES -HATASIZ-
                
                            
                            Yeni Gibi","2016",4000,"Beyaz",56500,"13 Mayıs 2017","İzmir Konak","Hyundai i20 1.4 MPI ",36.3360667,41.2797031
"834","Mercedes - Benz E 200 Avantgarde
            ERDAL OTOMOTİV DEN AVANGARDE KEDİ GÖZ","1997",341000,"Yeşil (metalik)",44750,"13 Mayıs 2017"," Bolu Merkez","Mercedes - Benz E 20",35.2587964,38.6092271
"934","BMW 3 Serisi 320d M Sport
            MAVİ NOKTA OTOMOTİV`DEN 2012 BMW 320d ///M SPORT (E 90) BAYİİ","2012",150000,"Füme",84900,"13 Mayıs 2017"," Kocaeli Körfez","BMW 3 Serisi 320d M ",29.8194875,40.7167517
"1033","Volkswagen Jetta 1.6 TDi Comfortline
            VOLKSWAGEN JETTA (senetle taksitlendirme seçeneğimiz vardır)","2011",163000,"Gri (Gümüş)",63750,"13 Mayıs 2017","İstanbulÜsküdar","Volkswagen Jetta 1.6",32.695547,39.9904289
"1134","Renault Fluence 1.5 dCi Joy
            MAVİ NOKTA OTO`DAN 2013 RENAULT FLUENCE JOY","2013",177000,"Beyaz",45000,"13 Mayıs 2017"," Kocaeli Körfez","Renault Fluence 1.5 ",36.221565,36.843358
"1234","Volkswagen Jetta 1.6 TDi Comfortline
            2011 JETTA 1.6TDİ COMFORTLİNE HATASIZ KUSURSUZ SERVİS BAKIMLI ÖĞRETMENDEN","2011",117000,"Gri (Gümüş)",67500,"13 Mayıs 2017"," Ankara Akyurt","Volkswagen Jetta 1.6",28.7780987,41.0212376
"1334","Opel Corsa 1.3 CDTI Enjoy
            2012 OPEL CORSA 1.3 CDTI","2012",43000,"Gri",43750,"13 Mayıs 2017"," Kocaeliİzmit","Opel Corsa 1.3 CDTI ",29.127778,40.983333
"1434","Renault Fluence 1.5 dCi Touch
            BURAKLAR'DAN 2014 MODEL RENAULT FLUENCE TOUCH TAMAMINA YAKIN KREDİLİ","2014",1e+05,"Beyaz",53750,"13 Mayıs 2017","İstanbul Başakşehir","Renault Fluence 1.5 ",36.1613221,36.2022842
"1534","BMW 3 Serisi 320i ED M Plus
            ORJİNAL 21.000 KM 2016 BMW 3.20İ ED İÇ DIŞ M PLUS ESTROİL MAVİ
                
                            
                            Yeni Gibi
                        
                                                                
                            
                            İlk Sahibi","2016",21000,"Mavi",162500,"13 Mayıs 2017","İstanbul Eyüp","BMW 3 Serisi 320i ED",35.2587964,36.9674013
"1634","Nissan Micra 1.2 Passion
            NİSSAN MİCRA (senetle taksitlendirme seçeneğimiz vardır)","2012",71000,"Siyah",41750,"13 Mayıs 2017","İstanbulÜsküdar","Nissan Micra 1.2 Pas",27.405666,37.751961
"1834","Ford Focus 1.6 TDCi Trend X
            2014 FORD FOCUS 1.6 TDCİ TREND-X Y.SERVİS BAKIMLI
                
                            
                            İlk Sahibi","2014",143000,"Gri (Gümüş)",58500,"13 Mayıs 2017","İstanbul Eyüp","Ford Focus 1.6 TDCi ",28.7780987,41.0212376
"1934","Ford Fiesta 1.4 Fun
            1999 model ford 1.4 benzin lpg fiesta","1999",36000,"Yeşil (metalik)",20000,"13 Mayıs 2017","İstanbul Maltepe","Ford Fiesta 1.4 Fun",28.195679,37.823396
"2034","Honda Civic 1.6 Elegance
            2013 HONDA CİVİC 1.6 ELEGANCE OTOMATİK VİTES BOYASIZ 55.000KM'dE","2013",55000,"Beyaz",67500,"13 Mayıs 2017","İstanbul Ataşehir","Honda Civic 1.6 Eleg",39.761729,38.268035
"2135","Peugeot 508 1.6 e-HDi Access
            2015 PEUGEOT 508 1.6E-HDİ ACCESS DEĞİŞENSİZ 50.000KM'dE","2015",50000,"Gri",76900,"13 Mayıs 2017","İstanbul Ataşehir","Peugeot 508 1.6 e-HD",32.650351,39.9310354
"2234","Hyundai Accent Era 1.5 CRDi Team
            HYUNDAİ ACCENT(senetle taksitlendirme seçeneğimiz vardır)","2011",89000,"Beyaz",41750,"13 Mayıs 2017","İstanbulÜsküdar","Hyundai Accent Era 1",29.127778,40.983333
"2334","Renault Fluence 1.5 dCi Touch
            TÜVSÜD GÜVENCESİ Renault Fluence 1.5 dCi Touch 90 HP 90,714 KM","2015",90714,"Siyah",55500,"13 Mayıs 2017","İstanbul Beykoz","Renault Fluence 1.5 ",28.324294,37.909777
"264","Opel Insignia 1.6 CDTI Edition Elegance
            TÜVSÜD GÜVENCESİ   Insignia 1.6 CDTI Edition Elegance 29,635 KM
                
                            
                            Yeni Gibi","2015",29635,"Gri",96900,"13 Mayıs 2017","İstanbul Beykoz","Opel Insignia 1.6 CD",35.886722,40.301847
"335","Citroen C-Elysee 1.6 HDi Attraction
            TÜVSÜD GÜVENCESİ  Citroen C- Elysee 1.6 HDİ Attraction 64,717 KM","2015",64717,"Beyaz",64717,"13 Mayıs 2017","İstanbul Beykoz","Citroen C-Elysee 1.6",27.4324654,38.6144012
"435","Skoda Octavia 1.6 TDI Optimal
            HATASIZ-BOYASIZ Skoda Octavia 1.6 CR TDI Optimal DSG 43,345 KM","2015",43345,"Siyah",83900,"13 Mayıs 2017","İstanbul Beykoz","Skoda Octavia 1.6 TD",29.3598782,40.8982305
"534","Toyota Corolla 1.4 D-4D Advance
            2016 HATASIZ 1.4D4-D TOYOTA COROLLA ADVANCE EKRANLI OTOMATİK VİTES 29.000KM'dE
                
                            
                            Yeni Gibi","2016",29000,"Beyaz",79500,"13 Mayıs 2017","İstanbul Ataşehir","Toyota Corolla 1.4 D",34.336953,41.948421
"735","Audi A3 1.6 TDI Sportback Ambiente
            2014_A3_AMBİENTE_S-TRONİC_XENON_LED_CRUİSE_DERİ_F1 VİTES_HATASIZ
                
                            
                            İlk Sahibi","2014",86500,"Beyaz",93500,"13 Mayıs 2017","İstanbul Güngören","Audi A3 1.6 TDI Spor",32.9212265,39.8451842
"835","Mercedes - Benz A 180 CDI BlueEFFICIENCY Urban
            2014 MODEL A180 1.5 DİZEL URBAN KAZASIZ BOYASIZ 43.000 KM
                
                            
                            İlk Sahibi","2014",43000,"Beyaz",99500,"13 Mayıs 2017","İstanbul Bağcılar","Mercedes - Benz A 18",32.4920088,38.0160383
"935","BMW 3 Serisi 320d Comfort
            2011_COMFORT_184HP_ORJİNAL 126.KM_BEJ DERİ_IŞIK PK_17""JAN_HATASZ","2011",126000,"Siyah",83500,"13 Mayıs 2017","İstanbul Güngören","BMW 3 Serisi 320d Co",39.570868,41.022042
"1034","Volkswagen New Beetle 1.4 TSi Design
            2012 MODEL BEETLE 1.4 TSİ 160BG BOYASIZ OTOMATİK VİTES
                
                            
                            İlk Sahibi","2012",90000,"Beyaz",69900,"13 Mayıs 2017","İstanbul Bağcılar","Volkswagen New Beetl",41.385329,37.5682959
"1135","Opel Insignia 2.0 CDTI Cosmo Sports Tourer
            TÜVSÜD GÜVENCESİ Insignia Sports Tourer 2.0 CDTI Cosmo 94,048 KM","2012",94048,"Beyaz",78900,"13 Mayıs 2017","İstanbul Beykoz","Opel Insignia 2.0 CD",36.1613221,36.2022842
"1235","Skoda Octavia 1.6 TDI Ambition
            BU FİYATA FIRSAT_2014_OCTAVİA AMBİTİON_DİZEL OTOMATİK_DSG_HATASZ
                
                            
                            İlk Sahibi","2014",140000,"Beyaz",63999,"13 Mayıs 2017","İstanbul Güngören","Skoda Octavia 1.6 TD",31.91395,38.2817239
"1335","BMW 3 Serisi 316i Standart
            TÜVSÜD GÜVENCESİ Bmw 3 Serisi 316i Otomatik 54,766 KM","2013",54766,"Siyah",96900,"13 Mayıs 2017","İstanbul Beykoz","BMW 3 Serisi 316i St",28.89614,40.990635
"1435","Skoda Roomster 1.6 TDI Active
            BU FİYATA FIRSAT_2013_ROOMSTER_1.6TDİ_90HP_ACTİVE_HATASZ BOYASIZ
                
                            
                            İlk Sahibi","2013",180000,"Kırmızı",38990,"13 Mayıs 2017","İstanbul Güngören","Skoda Roomster 1.6 T",34.842081,38.710814
"1535","Renault Clio 1.5 dCi SportTourer Joy
            2014 CLİO 1.5DCİ SPORTTOURER HATASIZ 103.000KM'dE","2014",103000,"Beyaz",43750,"13 Mayıs 2017","İstanbul Ataşehir","Renault Clio 1.5 dCi",35.3186448,37.0204658
"1635","Citroen C4 1.6 e-HDi Confort
            TÜVSÜD GÜVENCESİ Citroen C4 1.6 e-HDi Confort MCP 74,434 KM","2012",74434,"Gri",53900,"13 Mayıs 2017","İstanbul Beykoz","Citroen C4 1.6 e-HDi",29.0227159,40.1794309
"1835","Fiat Punto 1.3 Multijet Dynamic
            UĞUR OTO 2006 FİAT PUNTO 1.3 M.JET DYNAMIC","2006",190000,"Mavi",24750,"13 Mayıs 2017","İzmir Gaziemir","Fiat Punto 1.3 Multi",35.2587964,36.9674013
"1935","Citroen C-Elysee 1.6 HDi Attraction
            TÜVSÜD GÜVENCESİ Citroen C- Elysee 1.6 HDİ Attraction 72,689 KM","2015",72689,"Beyaz",46500,"13 Mayıs 2017","İstanbul Beykoz","Citroen C-Elysee 1.6",29.9277947,40.1335256
"2035","Opel Corsa 1.3 CDTI Essentia
            TÜVSÜD GÜVENCESİ Opel Corsa 1.3 CDTI Essentia 48,138 KM","2014",48138,"Beyaz",45900,"13 Mayıs 2017","İstanbul Beykoz","Opel Corsa 1.3 CDTI ",37.3399768,37.203126
"2136","Chevrolet Kalos 1.4 SX
            ALPEREN  OTOMOTİV'DEN 2005 CHEVROLET KALOS","2005",112500,"Beyaz",21000,"13 Mayıs 2017"," Giresun Merkez","Chevrolet Kalos 1.4 ",27.83662,38.917664
"2235","Renault Clio 1.2 Icon
            ''ALAMUT OTOMOTİV''2016 MODEL RENAULT CLİO 1.2 16V İCON BOYASIZ
                
                            
                            Yeni Gibi","2016",24000,"Beyaz",49000,"13 Mayıs 2017"," Edirne Merkez","Renault Clio 1.2 Ico",35.905686,41.561959
"2335","Opel Astra 1.3 CDTI Essentia
            AZ YAKITLI DİZEL","2011",47000,"Beyaz",47500,"13 Mayıs 2017"," Konya Karatay","Opel Astra 1.3 CDTI ",34.6414028,38.5977511
"265","Renault Fluence 1.5 dCi Business
            ÇOBAN OTOMOTİV'DEN 2012 FLUENCE 1.5 DCİ BUSİNESS BAKIMLI","2012",139000,"Gri (Gümüş)",39500,"13 Mayıs 2017","İzmir Gaziemir","Renault Fluence 1.5 ",29.5339711,40.9329106
"336","Ford Focus 1.6 TDCi Trend
            2011 FORD FOCUS ARABACİ OTOMOTİV","2011",277000,"Gri",36000,"13 Mayıs 2017","İstanbul Avcılar","Ford Focus 1.6 TDCi ",30.5739579,38.740978
"436","Volkswagen Jetta 1.6 Primeline
            ERDAL OTOMOTİV DEN 1,6 LPG Lİ JETTA 2007","2007",180000,"Füme",42750,"13 Mayıs 2017"," Bolu Merkez","Volkswagen Jetta 1.6",30.6890055,36.9934776
"535","Volkswagen Golf 1.9 TDi Comfortline
            2005 VOLKSWAGEN GOLF ARABACİ OTOMOTİV","2005",202000,"Mavi",32000,"13 Mayıs 2017","İstanbul Avcılar","Volkswagen Golf 1.9 ",28.247868,41.073678
"736","Volkswagen Passat 2.0 TDi Highline
            HATASIZ PASSAT HİGHLİNE","2007",260000,"Mavi",55000,"13 Mayıs 2017"," Kırıkkale Bahşili","Volkswagen Passat 2.",27.43054,37.034407
"836","Opel Vectra 2.0 GL
            G Ü N O T O'DAN 1993 OPEL VECTRA 2.0 LPG.Lİ OTOMATİK VİTES
                
                            
                            İlk Sahibi","1993",326000,"Beyaz",15750,"13 Mayıs 2017"," Ankara Akyurt","Opel Vectra 2.0 GL
",32.831015,40.0210623
"936","Skoda Forman LX
            G Ü N O T O'DAN 1993  SKODA FORMAN 135 LX LPG.Lİ","1993",236000,"Beyaz",8500,"13 Mayıs 2017"," Ankara Akyurt","Skoda Forman LX
   ",30.4154737,40.8291144
"1035","Fiat Linea 1.3 Multijet Active Plus
            UĞUR OTO 2014 FIAT LINEA """" 1.3 ACTİVE PLUS """"","2014",81000,"Beyaz",44500,"13 Mayıs 2017","İzmir Gaziemir","Fiat Linea 1.3 Multi",29.3831026,40.8361421
"1136","Renault Clio 1.5 dCi SportTourer Joy
            TÜVSÜD GÜVENCESİ Renault Clio SportTourer 1.5 dCi Joy 60,362 KM","2014",60362,"Beyaz",41900,"13 Mayıs 2017","İstanbul Beykoz","Renault Clio 1.5 dCi",28.7206721,40.9801984
"1236","Volkswagen Polo 1.2 TDi Trendline
            TÜVSÜD GÜVENCESİ Polo 1.2 TDi Trendline 75 Hp 116,885 KM","2014",116885,"Beyaz",40900,"13 Mayıs 2017","İstanbul Beykoz","Volkswagen Polo 1.2 ",NA,NA
"1336","Renault Symbol 1.5 dCi Joy
            TÜVSÜD GÜVENCESİ Renault Symbol 1.5 dCi Joy 94,141 KM","2014",94141,"Gri",37900,"13 Mayıs 2017","İstanbul Beykoz","Renault Symbol 1.5 d",35.6969984,38.7511567
"1436","Renault Clio 1.5 dCi SportTourer Joy
            TÜVSÜD GÜVENCESİ Renault Clio SportTourer 1.5 dCi Joy 49,340 KM","2014",49340,"Beyaz",42900,"13 Mayıs 2017","İstanbul Beykoz","Renault Clio 1.5 dCi",26.8439147,39.6655423
"1536","Mercedes - Benz C 180 AMG 7G-Tronic
            GÖZDE OTOMOTİV'DEN MERCEDES - BENZ C 180 AMG 7G-TRONİC FULL+FULL","2014",45000,"Beyaz",143000,"13 Mayıs 2017"," Bursa Nilüfer","Mercedes - Benz C 18",32.9212265,39.8451842
"1636","Peugeot 206 1.4 HDi X-Design
            Peugeot 206 1.4 HDi X-Design","2006",190000,"Gri (Gümüş)",22500,"13 Mayıs 2017","İstanbul Bağcılar","Peugeot 206 1.4 HDi ",37.2115829,36.9907413
"1836","Fiat Punto EVO 1.3 Multijet Dynamic
            GÖZDE OTOMOTİV'DEN FİAT PUNTO EVO 1.3 MULTİJET DYNAMİC","2011",122000,"Siyah",42000,"13 Mayıs 2017"," Bursa Nilüfer","Fiat Punto EVO 1.3 M",27.8137319,41.155812
"1936","Volkswagen Passat 1.4 TSi BlueMotion Trendline
            UĞUR OTO 2015 VOLKSWAGEN PASSAT 1.4 TSI BM TRENDLINE
                
                            
                            Yeni Gibi","2015",22000,"Beyaz",86000,"13 Mayıs 2017","İzmir Gaziemir","Volkswagen Passat 1.",37.977476,37.024993
"2036","BMW 3 Serisi 318i Standart
            2007 B-M-W","2007",195000,"Siyah",63500,"13 Mayıs 2017"," Kırıkkale Bahşili","BMW 3 Serisi 318i St",29.0963328,37.7830159
"2137","Audi A4 2.0 TDI
            2013 AUDİ A4 SEDAN 150PS BOYASIZ-KAZASIZ","2013",87000,"Siyah",112000,"13 Mayıs 2017","İstanbul Bağcılar","Audi A4 2.0 TDI
   ",43.914,39.142
"2236","Volkswagen Passat 1.8 T
            1 Kuruş Masrafsız 1.8T","1998",230000,"Mavi (metalik)",28000,"13 Mayıs 2017"," Yozgat Sarıkaya","Volkswagen Passat 1.",35.2587964,36.9674013
"2336","Chevrolet Camaro RS
            GÖZDE OTOMOTİV'DEN CHEVROLET CAMARO RS","2011",88000,"Beyaz",230000,"13 Mayıs 2017"," Bursa Nilüfer","Chevrolet Camaro RS",27.0441009,38.3465505
"266","Tofaş Doğan L
            EUROKARDAN 92 DOĞAN L 1.6 BENZİN+LPG UCUZ ARAC ARAYANLARA 7250TL","1992",165000,"Bordo",7250,"13 Mayıs 2017","İstanbul Ataşehir","Tofaş Doğan L
     ",33.9750018,38.3352043
"337","Renault Symbol 1.5 dCi Joy
            GÜNGÖR OTOMOTİV'DEN 2013 1.5 DCİ RENAULT SYMBOL JOY","2013",154000,"Beyaz",35500,"13 Mayıs 2017","İstanbul Beykoz","Renault Symbol 1.5 d",31.3209348,40.7708616
"437","Renault Megane 1.5 dCi Expression
            MEGANE 1.5 DCİ EXPRESSİON 6 İLERİ 27.000 TL KREDİ İMKANI","2010",238000,"Siyah",32750,"13 Mayıs 2017","İstanbul Bağcılar","Renault Megane 1.5 d",39.9241654,37.9562513
"536","Renault Symbol 1.5 dCi Joy
            GÜNGÖR OTOMOTİV'DEN 2016 1.5 DCİ RENAULT SYMBOL JOY 90 bg","2016",43000,"Beyaz",48250,"13 Mayıs 2017","İstanbul Beykoz","Renault Symbol 1.5 d",28.9819731,41.0814028
"737","Hyundai Accent Blue 1.6 CRDI Mode Plus
            GÖZDE OTOMOTİV'DEN HYUNDAI ACCENT BLUE 1.6 CRDI MODE PLUS
                
                            
                            Yeni Gibi","2015",14000,"Beyaz",60000,"13 Mayıs 2017"," Bursa Nilüfer","Hyundai Accent Blue ",37.2115829,36.9907413
